queue_id,broad_category_slug,sub_category,micro_niche,keyword,tiktok_search_url,tiktok_tag_url,google_shop_query_url
KW-0011,appliances,Garment care,Steamers and lint removers,garment steamer,https://www.tiktok.com/search?q=garment+steamer,https://www.tiktok.com/tag/garment-steamer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22garment+steamer%22+Malaysia
KW-0012,appliances,Garment care,Steamers and lint removers,iron brush,https://www.tiktok.com/search?q=iron+brush,https://www.tiktok.com/tag/iron-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22iron+brush%22+Malaysia
KW-0013,appliances,Garment care,Steamers and lint removers,lint remover,https://www.tiktok.com/search?q=lint+remover,https://www.tiktok.com/tag/lint-remover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lint+remover%22+Malaysia
KW-0014,appliances,Home cleaning,Handheld vacuums,dust cleaner,https://www.tiktok.com/search?q=dust+cleaner,https://www.tiktok.com/tag/dust-cleaner,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22dust+cleaner%22+Malaysia
KW-0015,appliances,Home cleaning,Handheld vacuums,handheld vacuum,https://www.tiktok.com/search?q=handheld+vacuum,https://www.tiktok.com/tag/handheld-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22handheld+vacuum%22+Malaysia
KW-0016,appliances,Home cleaning,Handheld vacuums,mini vacuum,https://www.tiktok.com/search?q=mini+vacuum,https://www.tiktok.com/tag/mini-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+vacuum%22+Malaysia
KW-0017,appliances,Kitchen appliances,Mini blenders and choppers,electric chopper,https://www.tiktok.com/search?q=electric+chopper,https://www.tiktok.com/tag/electric-chopper,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22electric+chopper%22+Malaysia
KW-0018,appliances,Kitchen appliances,Mini blenders and choppers,mini blender,https://www.tiktok.com/search?q=mini+blender,https://www.tiktok.com/tag/mini-blender,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+blender%22+Malaysia
KW-0019,appliances,Kitchen appliances,Mini blenders and choppers,portable juicer,https://www.tiktok.com/search?q=portable+juicer,https://www.tiktok.com/tag/portable-juicer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+juicer%22+Malaysia
KW-0020,automotive,,,car diffuser,https://www.tiktok.com/search?q=car+diffuser,https://www.tiktok.com/tag/car-diffuser,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+diffuser%22+Malaysia
KW-0021,automotive,,,phone mount,https://www.tiktok.com/search?q=phone+mount,https://www.tiktok.com/tag/phone-mount,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22phone+mount%22+Malaysia
KW-0022,automotive,,,seat hook,https://www.tiktok.com/search?q=seat+hook,https://www.tiktok.com/tag/seat-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22seat+hook%22+Malaysia
KW-0023,automotive,,,tire gauge,https://www.tiktok.com/search?q=tire+gauge,https://www.tiktok.com/tag/tire-gauge,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22tire+gauge%22+Malaysia
KW-0024,automotive,Air and comfort,Diffusers and shades,car diffuser,https://www.tiktok.com/search?q=car+diffuser,https://www.tiktok.com/tag/car-diffuser,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+diffuser%22+Malaysia
KW-0025,automotive,Air and comfort,Diffusers and shades,seat cushion,https://www.tiktok.com/search?q=seat+cushion,https://www.tiktok.com/tag/seat-cushion,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22seat+cushion%22+Malaysia
KW-0026,automotive,Air and comfort,Diffusers and shades,sun shade,https://www.tiktok.com/search?q=sun+shade,https://www.tiktok.com/tag/sun-shade,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22sun+shade%22+Malaysia
KW-0027,automotive,Cleaning,Detailing cloths and tools,car cloth,https://www.tiktok.com/search?q=car+cloth,https://www.tiktok.com/tag/car-cloth,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+cloth%22+Malaysia
KW-0028,automotive,Cleaning,Detailing cloths and tools,cleaning gel,https://www.tiktok.com/search?q=cleaning+gel,https://www.tiktok.com/tag/cleaning-gel,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22cleaning+gel%22+Malaysia
KW-0029,automotive,Cleaning,Detailing cloths and tools,detailing brush,https://www.tiktok.com/search?q=detailing+brush,https://www.tiktok.com/tag/detailing-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22detailing+brush%22+Malaysia
KW-0030,automotive,Motorcycle accessories,Helmet and mount accessories,bike mount,https://www.tiktok.com/search?q=bike+mount,https://www.tiktok.com/tag/bike-mount,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22bike+mount%22+Malaysia
KW-0031,automotive,Motorcycle accessories,Helmet and mount accessories,helmet visor,https://www.tiktok.com/search?q=helmet+visor,https://www.tiktok.com/tag/helmet-visor,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22helmet+visor%22+Malaysia
KW-0032,automotive,Motorcycle accessories,Helmet and mount accessories,mirror accessory,https://www.tiktok.com/search?q=mirror+accessory,https://www.tiktok.com/tag/mirror-accessory,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mirror+accessory%22+Malaysia
KW-0033,automotive,Mounts,Phone holders and dashboards,car mount,https://www.tiktok.com/search?q=car+mount,https://www.tiktok.com/tag/car-mount,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+mount%22+Malaysia
KW-0034,automotive,Mounts,Phone holders and dashboards,dashboard holder,https://www.tiktok.com/search?q=dashboard+holder,https://www.tiktok.com/tag/dashboard-holder,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22dashboard+holder%22+Malaysia
KW-0035,automotive,Mounts,Phone holders and dashboards,phone holder,https://www.tiktok.com/search?q=phone+holder,https://www.tiktok.com/tag/phone-holder,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22phone+holder%22+Malaysia
KW-0036,automotive,Organization,Seat hooks and trunk organizers,car bin,https://www.tiktok.com/search?q=car+bin,https://www.tiktok.com/tag/car-bin,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+bin%22+Malaysia
KW-0037,automotive,Organization,Seat hooks and trunk organizers,seat hook,https://www.tiktok.com/search?q=seat+hook,https://www.tiktok.com/tag/seat-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22seat+hook%22+Malaysia
KW-0038,automotive,Organization,Seat hooks and trunk organizers,trunk organizer,https://www.tiktok.com/search?q=trunk+organizer,https://www.tiktok.com/tag/trunk-organizer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22trunk+organizer%22+Malaysia
KW-0039,baby-maternity,,,baby bib,https://www.tiktok.com/search?q=baby+bib,https://www.tiktok.com/tag/baby-bib,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22baby+bib%22+Malaysia
KW-0040,baby-maternity,,,bottle brush,https://www.tiktok.com/search?q=bottle+brush,https://www.tiktok.com/tag/bottle-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22bottle+brush%22+Malaysia
KW-0041,baby-maternity,,,nursing cover,https://www.tiktok.com/search?q=nursing+cover,https://www.tiktok.com/tag/nursing-cover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22nursing+cover%22+Malaysia
KW-0042,baby-maternity,,,stroller hook,https://www.tiktok.com/search?q=stroller+hook,https://www.tiktok.com/tag/stroller-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22stroller+hook%22+Malaysia
KW-0043,baby-maternity,Bath and care,Bath supports and towels,baby towel,https://www.tiktok.com/search?q=baby+towel,https://www.tiktok.com/tag/baby-towel,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22baby+towel%22+Malaysia
KW-0044,baby-maternity,Bath and care,Bath supports and towels,bath support,https://www.tiktok.com/search?q=bath+support,https://www.tiktok.com/tag/bath-support,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22bath+support%22+Malaysia
KW-0045,baby-maternity,Bath and care,Bath supports and towels,wash mitt,https://www.tiktok.com/search?q=wash+mitt,https://www.tiktok.com/tag/wash-mitt,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22wash+mitt%22+Malaysia
KW-0046,baby-maternity,Feeding,Bibs brushes and feeding tools,baby bib,https://www.tiktok.com/search?q=baby+bib,https://www.tiktok.com/tag/baby-bib,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22baby+bib%22+Malaysia
KW-0047,baby-maternity,Feeding,Bibs brushes and feeding tools,bottle brush,https://www.tiktok.com/search?q=bottle+brush,https://www.tiktok.com/tag/bottle-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22bottle+brush%22+Malaysia
KW-0048,baby-maternity,Feeding,Bibs brushes and feeding tools,feeding spoon,https://www.tiktok.com/search?q=feeding+spoon,https://www.tiktok.com/tag/feeding-spoon,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22feeding+spoon%22+Malaysia
KW-0049,baby-maternity,Maternity support,Pillows and belts,maternity pillow,https://www.tiktok.com/search?q=maternity+pillow,https://www.tiktok.com/tag/maternity-pillow,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22maternity+pillow%22+Malaysia
KW-0050,baby-maternity,Maternity support,Pillows and belts,pregnancy pillow,https://www.tiktok.com/search?q=pregnancy+pillow,https://www.tiktok.com/tag/pregnancy-pillow,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22pregnancy+pillow%22+Malaysia
KW-0051,baby-maternity,Maternity support,Pillows and belts,support belt,https://www.tiktok.com/search?q=support+belt,https://www.tiktok.com/tag/support-belt,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22support+belt%22+Malaysia
KW-0052,baby-maternity,Nursing,Nursing covers and pads,breast pad,https://www.tiktok.com/search?q=breast+pad,https://www.tiktok.com/tag/breast-pad,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22breast+pad%22+Malaysia
KW-0053,baby-maternity,Nursing,Nursing covers and pads,nursing cover,https://www.tiktok.com/search?q=nursing+cover,https://www.tiktok.com/tag/nursing-cover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22nursing+cover%22+Malaysia
KW-0054,baby-maternity,Nursing,Nursing covers and pads,pump bag,https://www.tiktok.com/search?q=pump+bag,https://www.tiktok.com/tag/pump-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22pump+bag%22+Malaysia
KW-0055,baby-maternity,Travel,Stroller hooks and organizers,baby organizer,https://www.tiktok.com/search?q=baby+organizer,https://www.tiktok.com/tag/baby-organizer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22baby+organizer%22+Malaysia
KW-0056,baby-maternity,Travel,Stroller hooks and organizers,car seat cover,https://www.tiktok.com/search?q=car+seat+cover,https://www.tiktok.com/tag/car-seat-cover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+seat+cover%22+Malaysia
KW-0057,baby-maternity,Travel,Stroller hooks and organizers,stroller hook,https://www.tiktok.com/search?q=stroller+hook,https://www.tiktok.com/tag/stroller-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22stroller+hook%22+Malaysia
KW-0058,bags,,,crossbody bag,https://www.tiktok.com/search?q=crossbody+bag,https://www.tiktok.com/tag/crossbody-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22crossbody+bag%22+Malaysia
KW-0059,bags,,,lunch bag,https://www.tiktok.com/search?q=lunch+bag,https://www.tiktok.com/tag/lunch-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lunch+bag%22+Malaysia
KW-0060,bags,,,makeup pouch,https://www.tiktok.com/search?q=makeup+pouch,https://www.tiktok.com/tag/makeup-pouch,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22makeup+pouch%22+Malaysia
KW-0061,bags,,,storage pouch,https://www.tiktok.com/search?q=storage+pouch,https://www.tiktok.com/tag/storage-pouch,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22storage+pouch%22+Malaysia
KW-0062,bags,,,travel bag,https://www.tiktok.com/search?q=travel+bag,https://www.tiktok.com/tag/travel-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22travel+bag%22+Malaysia
KW-0063,bags,Crossbody,Small daily bags,crossbody bag,https://www.tiktok.com/search?q=crossbody+bag,https://www.tiktok.com/tag/crossbody-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22crossbody+bag%22+Malaysia
KW-0064,bags,Crossbody,Small daily bags,mini bag,https://www.tiktok.com/search?q=mini+bag,https://www.tiktok.com/tag/mini-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+bag%22+Malaysia
KW-0065,bags,Crossbody,Small daily bags,sling bag,https://www.tiktok.com/search?q=sling+bag,https://www.tiktok.com/tag/sling-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22sling+bag%22+Malaysia
KW-0066,bags,Office and school,Tote and laptop bags,laptop bag,https://www.tiktok.com/search?q=laptop+bag,https://www.tiktok.com/tag/laptop-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22laptop+bag%22+Malaysia
KW-0067,bags,Office and school,Tote and laptop bags,school tote,https://www.tiktok.com/search?q=school+tote,https://www.tiktok.com/tag/school-tote,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22school+tote%22+Malaysia
KW-0068,bags,Office and school,Tote and laptop bags,tote bag,https://www.tiktok.com/search?q=tote+bag,https://www.tiktok.com/tag/tote-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22tote+bag%22+Malaysia
KW-0069,bags,Storage,Cosmetic and toiletry pouches,makeup pouch,https://www.tiktok.com/search?q=makeup+pouch,https://www.tiktok.com/tag/makeup-pouch,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22makeup+pouch%22+Malaysia
KW-0070,bags,Storage,Cosmetic and toiletry pouches,toiletry bag,https://www.tiktok.com/search?q=toiletry+bag,https://www.tiktok.com/tag/toiletry-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22toiletry+bag%22+Malaysia
KW-0071,bags,Storage,Cosmetic and toiletry pouches,zip pouch,https://www.tiktok.com/search?q=zip+pouch,https://www.tiktok.com/tag/zip-pouch,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22zip+pouch%22+Malaysia
KW-0072,bags,Travel,Weekender and travel pouches,packing pouch,https://www.tiktok.com/search?q=packing+pouch,https://www.tiktok.com/tag/packing-pouch,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22packing+pouch%22+Malaysia
KW-0073,bags,Travel,Weekender and travel pouches,travel bag,https://www.tiktok.com/search?q=travel+bag,https://www.tiktok.com/tag/travel-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22travel+bag%22+Malaysia
KW-0074,bags,Travel,Weekender and travel pouches,travel organizer,https://www.tiktok.com/search?q=travel+organizer,https://www.tiktok.com/tag/travel-organizer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22travel+organizer%22+Malaysia
KW-0075,bags,Utility,Lunch and insulated bags,cooler bag,https://www.tiktok.com/search?q=cooler+bag,https://www.tiktok.com/tag/cooler-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22cooler+bag%22+Malaysia
KW-0076,bags,Utility,Lunch and insulated bags,insulated bag,https://www.tiktok.com/search?q=insulated+bag,https://www.tiktok.com/tag/insulated-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22insulated+bag%22+Malaysia
KW-0077,bags,Utility,Lunch and insulated bags,lunch bag,https://www.tiktok.com/search?q=lunch+bag,https://www.tiktok.com/tag/lunch-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lunch+bag%22+Malaysia
KW-0078,beauty-personal-care,,,body mist,https://www.tiktok.com/search?q=body+mist,https://www.tiktok.com/tag/body-mist,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22body+mist%22+Malaysia
KW-0079,beauty-personal-care,,,eyeliner,https://www.tiktok.com/search?q=eyeliner,https://www.tiktok.com/tag/eyeliner,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22eyeliner%22+Malaysia
KW-0080,beauty-personal-care,,,hair oil,https://www.tiktok.com/search?q=hair+oil,https://www.tiktok.com/tag/hair-oil,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22hair+oil%22+Malaysia
KW-0081,beauty-personal-care,,,lip tint,https://www.tiktok.com/search?q=lip+tint,https://www.tiktok.com/tag/lip-tint,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lip+tint%22+Malaysia
KW-0082,beauty-personal-care,,,serum,https://www.tiktok.com/search?q=serum,https://www.tiktok.com/tag/serum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22serum%22+Malaysia
KW-0083,beauty-personal-care,Beauty tools,Brushes and puffs,eyelash curler,https://www.tiktok.com/search?q=eyelash+curler,https://www.tiktok.com/tag/eyelash-curler,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22eyelash+curler%22+Malaysia
KW-0084,beauty-personal-care,Beauty tools,Brushes and puffs,makeup brush,https://www.tiktok.com/search?q=makeup+brush,https://www.tiktok.com/tag/makeup-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22makeup+brush%22+Malaysia
KW-0085,beauty-personal-care,Beauty tools,Brushes and puffs,powder puff,https://www.tiktok.com/search?q=powder+puff,https://www.tiktok.com/tag/powder-puff,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22powder+puff%22+Malaysia
KW-0086,beauty-personal-care,Body care,Deodorant and body scrub,body lotion,https://www.tiktok.com/search?q=body+lotion,https://www.tiktok.com/tag/body-lotion,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22body+lotion%22+Malaysia
KW-0087,beauty-personal-care,Body care,Deodorant and body scrub,body scrub,https://www.tiktok.com/search?q=body+scrub,https://www.tiktok.com/tag/body-scrub,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22body+scrub%22+Malaysia
KW-0088,beauty-personal-care,Body care,Deodorant and body scrub,deodorant cream,https://www.tiktok.com/search?q=deodorant+cream,https://www.tiktok.com/tag/deodorant-cream,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22deodorant+cream%22+Malaysia
KW-0089,beauty-personal-care,Eye makeup,Waterproof eyeliner,eyeliner,https://www.tiktok.com/search?q=eyeliner,https://www.tiktok.com/tag/eyeliner,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22eyeliner%22+Malaysia
KW-0090,beauty-personal-care,Eye makeup,Waterproof eyeliner,mascara,https://www.tiktok.com/search?q=mascara,https://www.tiktok.com/tag/mascara,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mascara%22+Malaysia
KW-0091,beauty-personal-care,Eye makeup,Waterproof eyeliner,waterproof liner,https://www.tiktok.com/search?q=waterproof+liner,https://www.tiktok.com/tag/waterproof-liner,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22waterproof+liner%22+Malaysia
KW-0092,beauty-personal-care,Haircare,Hair oil and scalp care,hair mist,https://www.tiktok.com/search?q=hair+mist,https://www.tiktok.com/tag/hair-mist,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22hair+mist%22+Malaysia
KW-0093,beauty-personal-care,Haircare,Hair oil and scalp care,hair oil,https://www.tiktok.com/search?q=hair+oil,https://www.tiktok.com/tag/hair-oil,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22hair+oil%22+Malaysia
KW-0094,beauty-personal-care,Haircare,Hair oil and scalp care,scalp serum,https://www.tiktok.com/search?q=scalp+serum,https://www.tiktok.com/tag/scalp-serum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22scalp+serum%22+Malaysia
KW-0095,beauty-personal-care,Makeup,Lip combo set,lip combo,https://www.tiktok.com/search?q=lip+combo,https://www.tiktok.com/tag/lip-combo,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lip+combo%22+Malaysia
KW-0096,beauty-personal-care,Makeup,Lip combo set,lip gloss set,https://www.tiktok.com/search?q=lip+gloss+set,https://www.tiktok.com/tag/lip-gloss-set,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lip+gloss+set%22+Malaysia
KW-0097,beauty-personal-care,Makeup,Lip combo set,lip tint,https://www.tiktok.com/search?q=lip+tint,https://www.tiktok.com/tag/lip-tint,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lip+tint%22+Malaysia
KW-0098,beauty-personal-care,Skincare,Brightening serum,brightening serum,https://www.tiktok.com/search?q=brightening+serum,https://www.tiktok.com/tag/brightening-serum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22brightening+serum%22+Malaysia
KW-0099,beauty-personal-care,Skincare,Brightening serum,dark spot serum,https://www.tiktok.com/search?q=dark+spot+serum,https://www.tiktok.com/tag/dark-spot-serum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22dark+spot+serum%22+Malaysia
KW-0100,beauty-personal-care,Skincare,Brightening serum,serum,https://www.tiktok.com/search?q=serum,https://www.tiktok.com/tag/serum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22serum%22+Malaysia
KW-0101,books-audio,,,children workbook,https://www.tiktok.com/search?q=children+workbook,https://www.tiktok.com/tag/children-workbook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22children+workbook%22+Malaysia
KW-0102,books-audio,,,journal,https://www.tiktok.com/search?q=journal,https://www.tiktok.com/tag/journal,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22journal%22+Malaysia
KW-0103,books-audio,,,religious book,https://www.tiktok.com/search?q=religious+book,https://www.tiktok.com/tag/religious-book,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22religious+book%22+Malaysia
KW-0104,books-audio,,,study planner,https://www.tiktok.com/search?q=study+planner,https://www.tiktok.com/tag/study-planner,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22study+planner%22+Malaysia
KW-0105,books-audio,Audio-format niche,Language and recitation aids,audio recitation,https://www.tiktok.com/search?q=audio+recitation,https://www.tiktok.com/tag/audio-recitation,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22audio+recitation%22+Malaysia
KW-0106,books-audio,Audio-format niche,Language and recitation aids,language audio,https://www.tiktok.com/search?q=language+audio,https://www.tiktok.com/tag/language-audio,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22language+audio%22+Malaysia
KW-0107,books-audio,Audio-format niche,Language and recitation aids,study audio,https://www.tiktok.com/search?q=study+audio,https://www.tiktok.com/tag/study-audio,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22study+audio%22+Malaysia
KW-0108,books-audio,Children education,Workbooks and flash cards,flash card,https://www.tiktok.com/search?q=flash+card,https://www.tiktok.com/tag/flash-card,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22flash+card%22+Malaysia
KW-0109,books-audio,Children education,Workbooks and flash cards,kids learning,https://www.tiktok.com/search?q=kids+learning,https://www.tiktok.com/tag/kids-learning,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22kids+learning%22+Malaysia
